number,name,address,bike_stands,available_bike_stands,available_bikes,lat,lon,temperature,relative_humidity,apparent_temperature,precipitation,rain,surface_pressure
23,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,20,8,12,46.545947,15.644015,13.4,80,12.1,0.1,0.1,958.9
27,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,20,13,7,46.554741,15.659814,13.4,88,12.2,0.1,0.1,962.1
18,LIDL - KOROŠKA C.,Koroška cesta 173,20,11,9,46.565603,15.623133,14.1,75,13.8,0.3,0.3,958.7
11,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,20,13,7,46.56056,15.652935,13.2,88,12.0,0.1,0.1,959.2
24,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,20,16,4,46.54199,15.63831,13.2,79,11.6,0.0,0.0,958.1
10,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,20,8,12,46.557328,15.646833,13.6,78,12.5,0.0,0.0,959.6
9,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,20,14,6,46.558519,15.649072,13.6,78,12.5,0.0,0.0,959.1
13,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,20,16,4,46.561555,15.65692,13.1,86,11.6,0.0,0.0,959.9
20,EUROPARK - POBREŠKA C.,Pobreška cesta 18,21,18,3,46.554703,15.652826,13.1,86,11.6,0.0,0.0,961.1
4,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,20,8,12,46.558498,15.64146,13.6,78,12.5,0.0,0.0,959.4
1,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,22,5,17,46.562695,15.62935,13.9,74,13.4,0.0,0.0,958.5
16,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,20,1,19,46.559319,15.63498,13.6,78,12.5,0.0,0.0,959.4
3,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,20,14,6,46.560761,15.64053,13.6,78,12.5,0.0,0.0,958.7
21,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,20,6,14,46.550683,15.639333,13.6,78,12.5,0.0,0.0,958.6
6,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,20,9,11,46.558924,15.644443,13.6,78,12.5,0.0,0.0,959.4
22,DVORANA TABOR,Gorkega ulica 48,20,10,10,46.549005,15.635014,13.2,79,11.6,0.0,0.0,958.5
14,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,20,13,7,46.552652,15.646023,13.6,78,12.5,0.0,0.0,958.6
19,LIDL - TITOVA C.,Titova cesta 15,20,8,12,46.551963,15.651564,13.1,86,11.5,0.0,0.0,959.1
25,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,20,10,10,46.542655,15.634329,13.2,79,11.6,0.0,0.0,958.7
17,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,20,8,12,46.553109,15.624098,13.9,74,13.4,0.0,0.0,958.2
