date,temperature,relative_humidity,apparent_temperature,precipitation,rain,surface_pressure
2024-03-28 19:09:22,10.1,87,8.4,0.0,0.0,968.5
2024-03-28 19:09:22,9.6,91,8.5,0.0,0.0,968.4
2024-03-28 19:09:22,9.6,91,8.5,0.0,0.0,968.0
2024-03-28 19:09:22,10.1,87,8.4,0.0,0.0,969.1
2024-03-28 19:09:22,9.8,91,8.7,0.0,0.0,970.3
2024-03-28 19:09:22,9.4,91,7.8,0.0,0.0,968.0
2024-03-28 19:09:22,10.9,84,9.6,0.0,0.0,967.6
2024-03-28 19:09:22,9.4,91,7.8,0.0,0.0,968.2
2024-03-28 19:09:22,10.3,87,8.6,0.0,0.0,971.5
2024-03-28 19:09:22,9.7,91,8.2,0.0,0.0,968.1
2024-03-28 19:09:22,10.1,87,8.4,0.0,0.0,968.5
2024-03-28 20:14:26,9.6,90,8.6,0.0,0.0,969.1
2024-03-28 20:14:26,9.9,89,9.0,0.0,0.0,970.8
2024-03-28 20:14:26,9.9,89,9.0,0.0,0.0,970.3
2024-03-28 20:14:26,9.8,89,8.8,0.0,0.0,970.8
2024-03-28 20:14:26,9.9,89,8.9,0.0,0.0,972.1
2024-03-28 20:14:26,9.9,89,9.0,0.0,0.0,970.6
2024-03-28 20:14:26,9.6,91,8.6,0.0,0.0,969.8
2024-03-28 20:14:26,9.9,89,9.0,0.0,0.0,970.6
2024-03-28 20:14:26,9.9,89,8.9,0.0,0.0,969.9
2024-03-28 20:14:26,9.9,89,8.9,0.0,0.0,969.8
2024-03-28 20:14:26,9.9,89,9.0,0.0,0.0,970.6
2024-03-28 20:14:26,9.6,90,8.6,0.0,0.0,969.5
2024-03-28 20:14:26,9.9,89,8.9,0.0,0.0,969.8
2024-03-28 20:14:26,9.7,89,8.8,0.0,0.0,970.0
2024-03-28 20:14:26,9.6,90,8.6,0.0,0.0,969.7
2024-03-28 20:14:26,9.6,91,8.6,0.0,0.0,969.4
2024-03-28 20:14:26,9.9,89,9.1,0.0,0.0,971.8
2024-03-28 20:14:26,9.7,89,8.8,0.0,0.0,969.7
2024-03-28 20:14:26,9.7,89,8.8,0.0,0.0,970.1
2024-03-28 20:14:26,9.9,89,8.9,0.0,0.0,970.0
2024-03-28 20:14:26,9.9,89,8.9,0.0,0.0,969.7
2024-03-28 20:14:26,9.8,89,8.8,0.0,0.0,970.7
2024-03-28 20:14:26,10.0,89,9.1,0.0,0.0,972.0
2024-03-28 20:14:26,9.6,90,8.6,0.0,0.0,969.7
2024-03-28 20:14:26,8.4,100,7.5,0.0,0.0,969.5
2024-03-28 20:14:26,9.6,90,8.6,0.0,0.0,969.9
2024-03-28 20:14:26,9.9,89,9.0,0.0,0.0,973.1
2024-03-28 20:14:26,9.6,91,8.6,0.0,0.0,969.9
2024-03-28 20:14:26,9.7,89,8.8,0.0,0.0,970.1
2024-03-28 21:14:17,9.1,92,7.8,0.0,0.0,972.2
2024-03-28 21:14:17,9.8,83,7.5,0.0,0.0,974.0
2024-03-28 21:14:17,9.8,83,7.5,0.0,0.0,973.4
